ROM,TIA_Count,RIOT_Count,RIOT_Timer,RIOT_IO,Branches,Jumps,Opcodes,Score
Laser Gates.bin,202,98,69,29,411,83,149,0.9421
LASRGATE.BIN,202,98,69,29,411,83,149,0.9421
Lasrvoly.bin,200,98,69,29,416,83,149,0.9426
lochjaw.bin,214,35,24,11,439,63,146,0.9515
Lock n Chase.bin,202,41,33,8,369,108,142,0.9340
London Blitz.bin,376,126,115,11,360,138,145,0.9408
Looping.BIN,397,138,74,64,761,236,150,0.9351
LordOfTheRings.bin,399,179,160,19,792,253,149,0.9377
LOSTLUGG.BIN,272,67,36,31,336,126,140,0.9496
M.A.D..bin,172,131,71,60,347,107,146,0.9476
M.A.S.H..bin,200,83,72,11,314,60,146,0.9367
magicard.bin,73,69,62,7,170,87,140,0.9344
Malagai.bin,196,25,21,4,416,124,145,0.9385
Mangia.bin,264,96,79,17,280,98,141,0.9296
Marauder.bin,193,105,60,45,389,85,139,0.9409
Marine Wars.bin,143,54,26,28,417,143,145,0.9378
Marineflieger (PAL).bin,261,47,39,8,316,117,140,0.9495
MARIOBRO.BIN,401,171,152,19,496,244,150,0.9401
Master Builder.bin,148,50,44,6,352,159,143,0.9394
Masters of the Universe - The Power of He-Man.bin,670,256,211,45,888,302,150,0.9330
Math Gran Prix.bin,113,107,87,20,409,110,140,0.9402
Maze Craze.bin,229,22,18,4,325,133,132,0.9468
McDonalds.bin,145,72,51,21,395,143,143,0.9400
mc_ntsc_7_26_3.bin,1082,136,107,29,1051,393,151,0.9160
mc_pal_4_28_3.bin,1082,126,97,29,1066,428,151,0.9159
Mega Force.bin,147,82,52,30,406,65,150,0.9370
Megamania.bin,319,56,53,3,319,100,141,0.9403
Meltdown.bin,227,77,72,5,315,92,144,0.9386
Meteor Defence.bin,242,33,30,3,317,99,140,0.9554
Midnight Magic.bin,683,171,123,48,843,332,150,0.9330
Millipede.bin,632,259,240,19,1325,393,151,0.9474
MindMaze.bin,373,80,75,5,312,125,134,0.9622
Miner 2049er.bin,158,162,105,57,602,488,148,0.9388
Mines of Minos.bin,174,102,89,13,400,109,144,0.9418
Minesweeper.bin,167,85,80,5,132,32,125,0.8477
Miniature Golf (32 in 1) (PAL).bin,79,66,42,24,194,37,128,0.9397
Miniature Golf - Arcade Golf (1).bin,78,67,43,24,195,37,131,0.9406
Miniature Golf - Arcade Golf (2).bin,156,134,86,48,390,74,131,0.9406
MINRVOL2.BIN,152,98,87,11,647,445,148,0.9403
MIN_GOLF.BIN,78,67,43,24,195,37,131,0.9406
Missile Command.bin,135,133,96,37,373,93,145,0.9427
Missile Control.bin,233,102,67,35,288,131,140,0.9487
Mission 3000 A.D..bin,200,67,58,9,421,93,147,0.9460
Misspig.bin,206,79,65,14,350,109,130,0.9625
Mogul Maniac.bin,244,105,75,30,352,59,144,0.9349
MondoPong.bin,193,81,63,18,192,103,139,0.9082
Monstercise.bin,175,35,32,3,187,101,135,0.9392
Montezuma's Revenge.bin,363,130,108,22,768,255,150,0.9343
Moon Patrol.bin,500,287,250,37,621,197,151,0.9415
Moonsweeper.bin,272,172,84,88,609,164,149,0.9375
Moto Laser (CCE).bin,147,82,52,30,406,65,150,0.9370
Motocross Racer - Joystik.bin,430,201,171,30,655,233,148,0.9366
Motocross Racer.bin,429,202,172,30,687,233,148,0.9362
Motocross.bin,189,72,62,10,282,105,148,0.9435
Motorodeo.bin,619,318,252,66,967,527,151,0.9501
Mouse Trap.bin,144,36,28,8,350,104,141,0.9463
Mr. Do!'s Castle.bin,268,195,136,59,647,202,146,0.9340
Mr. Do!.bin,327,142,131,11,681,255,150,0.9357
Mr. Postman.bin,255,114,94,20,424,116,142,0.9378
Ms. Pac-Man.bin,353,163,135,28,695,147,150,0.9450
MTNKING.BIN,357,69,58,11,883,169,151,0.9187
Multi-Sprite Demo.bin,206,82,70,12,390,96,139,0.8518
Music Machine.bin,198,56,51,5,228,50,138,0.9186
My Golf.bin,341,186,154,32,470,186,151,0.9333
NAMEGAME.BIN,223,29,23,6,300,94,144,0.9299
Nexar.bin,165,53,46,7,347,69,139,0.9572
NGHTMARE.BIN,127,32,18,14,359,151,144,0.9352
Night Driver (4k Version).bin,252,224,168,56,382,72,129,0.9413
Night Stalker.bin,197,79,38,41,325,123,143,0.9399
Nightmare.bin,127,32,18,14,359,151,144,0.9352
No Escape! (1).bin,225,63,47,16,400,85,147,0.9429
Nuts.bin,164,74,53,21,196,67,136,0.9180
Obelix.bin,206,125,108,17,528,216,150,0.9456
Ocean City Defender.bin,302,39,28,11,353,74,144,0.9395
Octopus.bin,223,29,23,6,300,94,144,0.9299
Off Your Rocker.bin,225,98,83,15,347,102,134,0.9396
Ofthwall.bin,714,182,140,42,1446,330,151,0.9334
Oink!.bin,266,102,85,17,403,70,143,0.9401
Okie Dokie.bin,100,55,48,7,180,64,121,0.9489
Omegarac.bin,280,129,109,20,729,232,149,0.9327
Open Sesame.bin,245,52,48,4,411,122,141,0.9370
Oscar's Trash Race.bin,496,128,107,21,513,233,150,0.9393
Othello (32 in 1) (PAL).bin,100,27,24,3,226,61,136,0.9398
Out of Control.bin,190,91,53,38,354,112,145,0.9260
Outerspc.bin,68,53,37,16,203,34,123,0.9403
Outlaw (32 in 1) (PAL).bin,101,41,31,10,145,51,126,0.9436
Outlaw - GunSlinger (2).bin,202,82,62,20,290,102,126,0.9436
Oystron.bin,197,123,116,7,332,67,145,0.9379
Pac Kong.bin,173,83,75,8,313,169,139,0.9466
Pac-Man.bin,208,70,65,5,366,170,139,0.9391
Pac-Space.bin,208,70,65,5,366,170,140,0.9392
Panda Chase.bin,197,75,68,7,290,81,148,0.9290
Parachute.bin,212,105,84,21,300,129,149,0.9352
Peek-A-Boo.bin,177,71,68,3,312,107,145,0.9446
Pele's Championship Soccer (pirate).bin,171,75,51,24,432,101,145,0.9361
Pele's Championship Soccer.bin,174,74,50,24,434,100,143,0.9369
Pele.bin,174,74,50,24,434,100,143,0.9369
Pengo.bin,340,120,102,18,509,148,150,0.9423
Pete Rose Baseball.bin,676,418,306,112,1179,304,151,0.9459
Phantom Tank (PAL).bin,172,65,56,9,487,155,141,0.9482
phantompanzer.bin,172,65,56,9,487,155,141,0.9482
Pharoah's Curse.bin,189,39,25,14,299,179,137,0.9463
Philly Flasher.bin,254,91,81,10,526,115,136,0.9457
Phoenix.bin,415,205,174,31,766,105,147,0.9406
Pick 'n Pile.bin,925,248,223,25,975,697,147,0.9487
PickUp.BIN,248,69,54,15,317,88,147,0.9365
